               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11589,            0.098755,            0.073001,            0.013763,             0.34271,            0.022544,           0.0058237,            0.094854,            0.070291,            0.075328,              0.0775,              0.0025,              0.0025
                   1,            0.090168,            0.096171,            0.069834,             0.03684,             0.39957,            0.029906,           0.0065632,            0.084594,            0.073404,            0.070724,             0.05405,           0.0050495,           0.0050495
                   2,            0.086652,            0.085211,            0.064645,             0.20248,             0.14317,            0.037037,            0.016633,            0.095633,            0.052115,            0.064139,            0.030548,           0.0075475,           0.0075475
                   3,            0.089891,            0.066652,            0.062138,             0.30674,             0.29733,            0.089875,            0.045622,            0.093162,            0.045507,            0.061787,            0.009703,            0.009703,            0.009703
                   4,             0.09355,            0.073533,            0.060994,             0.80637,             0.08658,             0.10824,            0.053308,            0.084034,            0.042855,            0.060142,            0.009703,            0.009703,            0.009703
                   5,            0.079037,            0.075228,             0.06033,             0.89059,            0.087662,             0.10474,            0.041685,            0.070623,            0.046715,            0.059171,            0.009604,            0.009604,            0.009604
                   6,            0.070602,            0.067584,            0.059368,             0.91344,            0.098326,             0.15015,            0.077017,            0.072609,            0.044471,            0.058623,            0.009505,            0.009505,            0.009505
                   7,            0.066958,            0.078057,              0.0591,            0.086429,             0.54394,             0.22112,            0.088293,            0.057444,            0.040733,             0.05843,            0.009406,            0.009406,            0.009406
                   8,            0.058989,            0.068917,            0.058317,            0.055391,             0.83229,             0.18619,            0.065744,            0.052029,            0.039698,            0.057604,            0.009307,            0.009307,            0.009307
                   9,            0.059292,            0.067927,            0.057896,             0.29813,             0.34694,              0.2986,             0.17432,            0.046833,            0.037814,             0.05651,            0.009208,            0.009208,            0.009208
                  10,            0.050779,            0.072636,            0.057163,             0.37035,             0.40359,             0.33719,             0.17292,            0.044463,            0.038532,            0.056085,            0.009109,            0.009109,            0.009109
                  11,             0.05033,            0.061512,            0.056479,             0.38073,             0.35503,             0.32003,             0.15474,            0.045287,             0.03846,            0.055136,             0.00901,             0.00901,             0.00901
                  12,            0.047981,            0.068767,            0.055841,             0.64318,               0.371,              0.4046,              0.1935,            0.041099,            0.037616,            0.054074,            0.008911,            0.008911,            0.008911
                  13,            0.046358,            0.061959,            0.055172,             0.47421,             0.35153,             0.30695,             0.17461,            0.055196,            0.040511,            0.052971,            0.008812,            0.008812,            0.008812
                  14,            0.051279,            0.064023,            0.053915,             0.62084,             0.33636,             0.44783,             0.22122,            0.043179,            0.036357,            0.052535,            0.008713,            0.008713,            0.008713
                  15,            0.046746,            0.061985,            0.053068,             0.47848,             0.40018,             0.41447,              0.2521,             0.04421,            0.036561,            0.051286,            0.008614,            0.008614,            0.008614
                  16,            0.044908,            0.063664,            0.052313,             0.53431,             0.44247,              0.4659,             0.26204,            0.034278,            0.034323,            0.050378,            0.008515,            0.008515,            0.008515
                  17,            0.044689,            0.067864,            0.051752,             0.50696,             0.37151,             0.36902,             0.17075,            0.055334,            0.039556,            0.049004,            0.008416,            0.008416,            0.008416
                  18,            0.046776,            0.058681,            0.050805,             0.53202,             0.36275,             0.42729,             0.21866,            0.037618,            0.033969,            0.048608,            0.008317,            0.008317,            0.008317
                  19,            0.041647,            0.058962,            0.049883,             0.43559,             0.44874,             0.40848,             0.22328,            0.041092,            0.036603,            0.047746,            0.008218,            0.008218,            0.008218
                  20,            0.041373,            0.060742,            0.048887,             0.49105,             0.34142,             0.44518,             0.28829,            0.028811,             0.03253,            0.046906,            0.008119,            0.008119,            0.008119
                  21,            0.040166,            0.064697,             0.04786,             0.43967,             0.34731,             0.39891,             0.23282,            0.040262,            0.036479,             0.04557,             0.00802,             0.00802,             0.00802
                  22,            0.041832,            0.053963,            0.047574,              0.3102,             0.54089,             0.48892,             0.26406,            0.032074,            0.032644,            0.044451,            0.007921,            0.007921,            0.007921
                  23,            0.040159,            0.061649,            0.046337,             0.31005,             0.49984,             0.47655,             0.28526,            0.033306,            0.034251,             0.04395,            0.007822,            0.007822,            0.007822
                  24,            0.037851,            0.059185,            0.045402,             0.32698,             0.52398,              0.5228,             0.33085,            0.027714,            0.032062,            0.043077,            0.007723,            0.007723,            0.007723
                  25,            0.038423,            0.058083,            0.045534,             0.30356,             0.51079,             0.50249,             0.33255,            0.033535,            0.033473,            0.042377,            0.007624,            0.007624,            0.007624
                  26,            0.038714,             0.05902,            0.044657,             0.36102,             0.61336,             0.53755,             0.34119,            0.030918,            0.033564,            0.041657,            0.007525,            0.007525,            0.007525
                  27,            0.037215,            0.060546,            0.043177,             0.36304,             0.58645,             0.55183,             0.35708,            0.031928,             0.03397,            0.040887,            0.007426,            0.007426,            0.007426
                  28,             0.03584,            0.060551,            0.042271,             0.36791,             0.54673,             0.55516,             0.35061,            0.027609,             0.03247,            0.040088,            0.007327,            0.007327,            0.007327
                  29,            0.035349,            0.059158,            0.040738,             0.35846,             0.62692,             0.57478,             0.34584,            0.035127,            0.034395,            0.039172,            0.007228,            0.007228,            0.007228
                  30,            0.037298,            0.052846,            0.041047,             0.46203,             0.61418,             0.61687,             0.38467,             0.02833,            0.031824,            0.038389,            0.007129,            0.007129,            0.007129
                  31,            0.035215,            0.054164,            0.040422,             0.47996,             0.61147,             0.61511,             0.35782,            0.034192,            0.034114,            0.038107,             0.00703,             0.00703,             0.00703
                  32,            0.035084,            0.053565,            0.039274,             0.48354,             0.64054,             0.63076,             0.37266,            0.029713,            0.032239,            0.036907,            0.006931,            0.006931,            0.006931
                  33,            0.034558,            0.056497,            0.039583,              0.5086,             0.63658,             0.62954,              0.3816,            0.034364,            0.033892,            0.036531,            0.006832,            0.006832,            0.006832
                  34,            0.036044,            0.057961,            0.038136,             0.49197,              0.6875,             0.63905,             0.41828,            0.027148,            0.031912,            0.036169,            0.006733,            0.006733,            0.006733
                  35,            0.033779,             0.05417,            0.037977,             0.49983,             0.66926,             0.65722,             0.42064,             0.03112,            0.033162,            0.035571,            0.006634,            0.006634,            0.006634
